year,hid,province,district,zone,starch,pulses,meat,vegetables,oil,fruits,milk,sugar,FCS,FCG,FS_final,DDS,GDDS
2018,7685,2,202,5,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,7686,2,202,5,7,7,0,5,0,0,0,0,40.0,3,2,3,1
2018,7687,3,307,1,7,6,1,3,3,0,0,0,40.5,3,2,5,2
2018,7688,2,202,5,7,4,0,1,0,0,0,0,27.0,2,3,3,1
2018,7689,4,405,7,7,5,0,3,3,0,0,0,33.5,2,2,4,1
2018,7690,3,307,1,7,7,0,7,0,0,0,0,42.0,3,2,3,1
2018,7691,2,206,5,7,3,0,7,3,1,0,0,32.5,2,3,5,2
2018,7692,5,505,10,7,1,0,7,0,1,0,0,25.0,2,3,4,1
2018,7693,4,402,4,7,7,0,7,0,0,0,3,43.5,3,2,3,1
2018,7694,5,503,9,7,3,0,3,4,3,0,7,34.5,2,3,5,2
2018,7695,5,501,10,7,6,0,7,4,0,1,3,46.5,3,2,5,2
2018,7696,4,402,4,7,7,0,1,7,0,0,0,39.5,3,2,4,1
2018,7697,4,403,3,7,7,0,7,3,0,0,1,44.0,3,2,4,1
2018,7698,3,301,4,7,2,0,0,0,0,0,0,20.0,1,4,2,1
2018,7699,3,306,1,7,0,0,3,7,0,0,0,20.5,1,3,3,1
2018,7700,3,304,3,7,4,0,4,2,0,0,0,31.0,2,3,4,1
2018,7701,3,301,4,7,7,0,7,3,0,0,0,43.5,3,2,4,1
2018,7702,3,303,3,7,2,0,7,0,0,0,0,27.0,2,2,3,1
2018,7703,5,505,10,7,2,0,7,2,2,0,1,30.5,2,3,5,2
2018,7704,3,305,4,7,2,0,3,2,0,0,0,24.0,2,3,4,1
2018,7705,4,404,6,7,7,0,4,2,1,0,0,41.0,3,2,5,2
2018,7706,2,202,5,7,3,0,7,0,0,0,0,30.0,2,3,3,1
2018,7707,2,202,5,7,7,2,7,4,0,0,2,53.0,3,2,5,2
